row,pot,mass,ber,fungus,cracking,penetrometer,sugar_avg,date_harvest,date_analysis,treatment,transplantation,germination,fruit,daysfromharvesttoanalysis,daysfromgermination,plant,ripeness,sugar_grams
B,4,323.8,FALSE,FALSE,FALSE,1.1,6.9,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B4,0.75,22.342200000000002
C,4,250.2,FALSE,FALSE,FALSE,1,6.6,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,1,105,C4,0.77,16.5132
C,3,280.3,FALSE,FALSE,FALSE,0.8,6.3,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,1,105,C3,0.8200000000000001,17.6589
C,4,195.9,FALSE,FALSE,FALSE,1.3,6.7,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,1,105,C4,0.7,13.125300000000001
B,12,300.3,FALSE,FALSE,FALSE,1,6.6,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B12,0.77,19.8198
B,11,240.2,FALSE,FALSE,FALSE,1.2,7.2,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B11,0.73,17.2944
C,1,174.4,FALSE,FALSE,FALSE,1,7.1,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Germination,FALSE,TRUE,1,1,105,C1,0.77,12.382399999999999
B,11,236,FALSE,FALSE,FALSE,1,7.3,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B11,0.77,17.227999999999998
B,5,350.1,FALSE,FALSE,TRUE,1,6.5,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B5,0.77,22.756500000000003
A,7,113.4,FALSE,FALSE,FALSE,1,6.3,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Control,FALSE,FALSE,1,1,105,A7,0.77,7.1442000000000005
B,6,119.1,FALSE,FALSE,FALSE,1.2,6.6,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B6,0.73,7.8606
B,10,111.3,TRUE,FALSE,FALSE,NA,NA,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B10,NA,NA
B,8,136.9,FALSE,FALSE,FALSE,1.4,6.2,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B8,0.6799999999999999,8.4878
B,10,260.4,FALSE,FALSE,FALSE,0.9,7.2,2024-08-13T00:00:00Z,2024-08-14T00:00:00Z,Transplantation,TRUE,FALSE,1,1,105,B10,0.8,18.7488
